Title,Artist,Type
Sexual Healing,Marvin Gaye,Banger!
Somethin' Stupid,Robbie Williams,Banger!
Son Of A Preacher Man,Dusty Springfield,Banger!
Space Oddity,David Bowie,Banger!
Stand By Me,Ben E. King,Banger!
Stand By Your Man,Tammy Wynette,Banger!
Starman,David Bowie,Banger!
Stayin' Alive,Bee Gees,Banger!
Strawberry Fields Forever,The Beatles,Banger!
Stuck In The Middle With You,Stealers Wheel,Banger!
Suspicious Minds,Elvis,Banger!
Suspicious Minds,Elvis Presley,Banger!
Sweet Dreams Are Made Of This,Eurythmics,Banger!
Take Me Home Country Roads,John Denver,Banger!
Take On Me,a-ha,Banger!
Thank You For The Music,ABBA,Banger!
That's Amore,Dean Martin,Banger!
That's Life,Frank Sinatra,Banger!
The Best,Tina Turner,Banger!
The Gambler,Kenny Rogers,Banger!
The Girl From Ipanema,Frank Sinatra,Banger!
The Girl From Yesterday,The Eagles,Banger!
The Lady Is A Tramp,Ella Fitzgerald,Banger!
The Look,Roxette,Banger!
These Boots Are Made For Walkin',Nancy Sinatra,Banger!
This Land Is Your Land,Pete Seeger,Banger!
Tiny Dancer,Elton John,Banger!
Titanium,David Guetta,Banger!
Vogue,Madonna,Banger!
We Are Family,Sister Sledge,Banger!
We Are The Champions,Queen,Banger!
We Are The World,USA For Africa,Banger!
We Will Rock You,Queen,Banger!
What Do You Mean?,Justin Bieber,Banger!
What's Love Got To Do With It,Tina Turner,Banger!
With A Little Help From My Friends,Joe Cocker,Banger!
Wrecking Ball,Miley Cyrus,Banger!
You Keep Me Hangin' On,The Supremes,Banger!
You're The First The Last My Everything,Barry White,Banger!
You've Got A Friend,James Taylor,Banger!
Your Song,Elton John,Banger!
All The Small Things,blink-182,Banger!
Say My Name,Destiny's Child,Banger!
Move Your Body - Gabry Ponte Original Radio Edit,Eiffel 65,Banger!
Freestyler,Bomfunk MC's,Banger!
I'm Outta Love - Radio Edit,Anastacia,Banger!
Better Off Alone,Alice Deejay,Banger!
The Next Episode,Dr. Dre,Banger!
In the End,Linkin Park,Banger!
Sexbomb,Tom Jones,Banger!
It Feels So Good,Sonique,Banger!
Spinning Around,Kylie Minogue,Banger!
Big Pimpin',JAY-Z,Banger!
She Bangs - English Version,Ricky Martin,Banger!
Thank God I Found You (feat. Joe & 98°),Mariah Carey,Banger!
Who Let The Dogs Out,Baha Men,Banger!
Hey Baby (Radio Mix),DJ Ötzi,Banger!
Most Girls,P!nk,Banger!
American Pie,Madonna,Banger!
Otherside,Red Hot Chili Peppers,Banger!
7 Days,Craig David,Banger!
Jumpin' Jumpin',Destiny's Child,Banger!
Shake Ya Ass,Mystikal,Banger!
Independent Women Pt. 1,Destiny's Child,Banger!
It's Gonna Be Me,*NSYNC,Banger!
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Banger!
Country Grammar (Hot Shit),Nelly,Banger!
Survivor,Destiny's Child,Banger!
Stan,Eminem,Banger!
Whenever Wherever,Shakira,Banger!
It's Raining Men,Geri Halliwell,Banger!
Hit 'Em Up Style (Oops!),Blu Cantrell,Banger!
I'm a Slave 4 U,Britney Spears,Banger!
Rollin' (Air Raid Vehicle),Limp Bizkit,Banger!
Butterfly,Crazy Town,Banger!
You Rock My World,Michael Jackson,Banger!
Let Me Blow Ya Mind,Eve,Banger!
One More Time,Daft Punk,Banger!
AM To PM,Christina Milian,Banger!
Clint Eastwood,Gorillaz,Banger!
Until The End Of Time,2Pac,Banger!
Love Don't Cost a Thing,Jennifer Lopez,Banger!
Purple Pills,D12,Banger!
Don't Tell Me,Madonna,Banger!
Because I Got High,Afroman,Banger!
Have You Ever,S Club 7,Banger!
Bootylicious,Destiny's Child,Banger!
Eternity,Robbie Williams,Banger!
Sing,Travis,Banger!
Crazy,K-Ci & JoJo,Banger!
Gone,*NSYNC,Banger!
Dilemma,Nelly,Banger!
Die Another Day,Madonna,Banger!
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,Banger!
Round Round,Sugababes,Banger!
Overprotected - Radio Edit,Britney Spears,Banger!
The Logical Song,Scooter,Banger!
Hot In Herre,Nelly,Banger!
Dirrty (feat. Redman),Christina Aguilera,Banger!
Freak Like Me,Sugababes,Banger!
Hey Baby,No Doubt,Banger!
Caught in the Middle,A1,Banger!
Cleanin' Out My Closet,Eminem,Banger!
Work It,Missy Elliott,Banger!
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Banger!
In Da Club,50 Cent,Banger!
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Banger!
Crazy In Love (feat. Jay-Z),Beyoncé,Banger!
Where Is The Love?,Black Eyed Peas,Banger!
All The Things She Said,t.A.T.u.,Banger!
Mundian to Bach Ke,Panjabi MC,Banger!
P.I.M.P.,50 Cent,Banger!
X Gon' Give It To Ya,DMX,Banger!
Seven Nation Army,The White Stripes,Banger!
Right Thurr,Chingy,Banger!
Miss Independent,Kelly Clarkson,Banger!
Yeah! (feat. Lil Jon & Ludacris),Usher,Banger!
Gasolina,Daddy Yankee,Banger!
Naughty Girl,Beyoncé,Banger!
My Prerogative,Britney Spears,Banger!
Dip It Low,Christina Milian,Banger!
Overnight Celebrity,Twista,Banger!
Fit but You Know It,The Streets,Banger!
Pon de Replay,Rihanna,Banger!
Candy Shop,50 Cent,Banger!
Galvanize,The Chemical Brothers,Banger!
Numb / Encore,JAY-Z,Banger!
Hate It Or Love It,The Game,Banger!
1 Thing,Amerie,Banger!
Since U Been Gone,Kelly Clarkson,Banger!
SexyBack (feat. Timbaland),Justin Timberlake,Banger!
Maneater,Nelly Furtado,Banger!
Ridin',Chamillionaire,Banger!
Promiscuous,Nelly Furtado,Banger!
Buttons,The Pussycat Dolls,Banger!
Snap Yo Fingers,Lil Jon,Banger!
London Bridge,Fergie,Banger!
Everytime We Touch - Radio Edit,Cascada,Banger!
Bossy,Kelis,Banger!
Smile,Lily Allen,Banger!
Umbrella,Rihanna,Banger!
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,Banger!
Smack That,Akon,Banger!
Beautiful Liar,Beyoncé,Banger!
Shut Up And Drive,Rihanna,Banger!
Glamorous,Fergie,Banger!
Acceptable in the 80's,Calvin Harris,Banger!
I Kissed A Girl,Katy Perry,Banger!
Womanizer,Britney Spears,Banger!
Paper Planes,M.I.A.,Banger!
Poker Face,Lady Gaga,Banger!
Sexy Bitch (feat. Akon),David Guetta,Banger!
Day 'N' Nite (Nightmare),Kid Cudi,Banger!
Just Dance,Lady Gaga,Banger!
Empire State Of Mind,JAY-Z,Banger!
Evacuate The Dancefloor,Cascada,Banger!
Bad Romance,Lady Gaga,Banger!
Not Fair,Lily Allen,Banger!
In For The Kill,La Roux,Banger!
Little Lion Man,Mumford & Sons,Banger!
Dynamite,Taio Cruz,Banger!
Only Girl (In The World),Rihanna,Banger!
Barbra Streisand - Radio Edit,Duck Sauce,Banger!
Te Amo,Rihanna,Banger!
Alejandro,Lady Gaga,Banger!
Commander,Kelly Rowland,Banger!
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,Banger!
Telephone,Lady Gaga,Banger!
Man Down,Rihanna,Banger!
Ridin' Solo,Jason Derulo,Banger!
Teenage Dream,Katy Perry,Banger!
Fireflies,Owl City,Banger!
Dancing On My Own,Robyn,Banger!
Firework,Katy Perry,Banger!
Grenade,Bruno Mars,Banger!
Midnight City,M83,Banger!
We Found Love,Rihanna,Banger!
Save The World,Swedish House Mafia,Banger!
Born This Way,Lady Gaga,Banger!
Super Bass,Nicki Minaj,Banger!
International Love (feat. Chris Brown),Pitbull,Banger!
Bangarang (feat. Sirah),Skrillex,Banger!
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,Banger!
Levels - Radio Edit,Avicii,Banger!
Starships,Nicki Minaj,Banger!
Ai Se Eu Te Pego - Live,Michel Teló,Banger!
Titanium (feat. Sia),David Guetta,Banger!
I Knew You Were Trouble.,Taylor Swift,Banger!
Blown Away,Carrie Underwood,Banger!
Stronger (What Doesn't Kill You),Kelly Clarkson,Banger!
Wake Me Up,Avicii,Banger!
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Banger!
Scream & Shout,will.i.am,Banger!
Work B**ch,Britney Spears,Banger!
Come & Get It,Selena Gomez,Banger!
Team,Lorde,Banger!
Demons,Imagine Dragons,Banger!
Burn,Ellie Goulding,Banger!
Started From the Bottom,Drake,Banger!
Pompeii,Bastille,Banger!
Hold On We're Going Home,Drake,Banger!
22,Taylor Swift,Banger!
Dark Horse,Katy Perry,Banger!
Bad Blood,Taylor Swift,Banger!
Anaconda,Nicki Minaj,Banger!
Am I Wrong,Nico & Vinz,Banger!
Love Me Harder,Ariana Grande,Banger!
Bang Bang,Jessie J,Banger!
Problem,Ariana Grande,Banger!
How Deep Is Your Love,Calvin Harris,Banger!
Wildest Dreams,Taylor Swift,Banger!
Bitch Better Have My Money,Rihanna,Banger!
Watch Me (Whip / Nae Nae),Silentó,Banger!
Hotline Bling,Drake,Banger!
Where Are Ü Now (with Justin Bieber),Jack Ü,Banger!
Sorry,Justin Bieber,Banger!
One Last Time,Ariana Grande,Banger!
Black Magic,Little Mix,Banger!
Hotter Than Hell,Dua Lipa,Banger!
Side To Side,Ariana Grande,Banger!
Shape of You,Ed Sheeran,Banger!
Man's Not Hot,Big Shaq,Banger!
New Rules,Dua Lipa,Banger!
It Ain't Me (with Selena Gomez),Kygo,Banger!
God's Plan,Drake,Banger!
IDGAF,Dua Lipa,Banger!
Old Town Road - Remix,Lil Nas X,Banger!
bad guy,Billie Eilish,Banger!
Sweet but Psycho,Ava Max,Banger!
Don't Start Now,Dua Lipa,Banger!
good 4 u,Olivia Rodrigo,Banger!
deja vu,Olivia Rodrigo,Banger!
drivers license,Olivia Rodrigo,Banger!
Rasputin,Majestic Boney M.,Banger!
Save Your Tears,The Weeknd,Banger!
Dinero,Trinidad Cardona,Banger!
Botella Tras Botella,Gera MX Christian Nodal,Banger!
No Me Conocen (Remix) [con DUKI Rei & Tiago PZK],BANDIDO,Banger!
WAP (feat. Megan Thee Stallion),Cardi B,Banger!
Closer,The Chainsmokers Halsey,Banger!
SHUM,Go_A,Banger!
Starboy,The Weeknd Daft Punk,Banger!
Say So,Doja Cat,Banger!
rockstar (feat. 21 Savage),Post Malone,Banger!
Kings & Queens,Ava Max,Banger!
Thriller,Michael Jackson,Banger!
Physical,Dua Lipa,Banger!
Hot Stuff,Kygo Donna Summer,Banger!
What's Love Got to Do with It,Kygo Tina Turner,Banger!
Higher Love,Kygo Whitney Houston,Banger!
Don't Stop Believin',Journey,Banger!
This Is America,Childish Gambino,Banger!
In My Life,The Beatles,Banger!
Blue Suede Shoes,Carl Perkins,Banger!
Ring of Fire,Johnny Cash,Banger!
Billie Jean,Michael Jackson,Banger!
The Message,Grandmaster Flash and the Furious Five,Banger!
