Title,Artist,Type
Come Fly With Me,Frank Sinatra,Banger!
Come On Eileen,Dexys Midnight Runners,Banger!
Come On Over Baby (All I Want is You),Christina Aguilera,Soulful!
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Banger!
Come to Me,P Diddy & Nicole Scherzinger,Duet!
Come Together,The Beatles,Rock!
Come Undone,Robbie Williams,Soulful!
Commander,Kelly Rowland & David Guetta,Banger!
Complicated,Avril Lavigne,Soulful!
Confessions Part II,Usher,Ballad!
Copacabana (At the Copa),Barry Manilow,Happy!
Copperhead Road,Steve Earle,Rock!
Cosmic Girl,Jamiroquai,Happy!
Cotton Eye Joe,Rednex,Happy!
Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,Duet!
Could You Be Loved,Bob Marley,Happy!
Counting Stars,OneRepublic,Happy!
Country Grammar (Hot Shit),Nelly,Banger!
Country House,Blur,Rock!
Country Roads (Take Me Home),John Denver,Banger!
Crash and Burn,Savage Garden,Soulful!
Crazy,Gnarls Barkley,Banger!
Crazy,K-Ci & JoJo,Banger!
Crazy,Aerosmith,Rock!
Crazy,Seal,Soulful!
Crazy In Love (feat. Jay-Z),Beyoncé,Banger!
Crazy Little Thing Called Love,Queen,Banger!
Crocodile Rock,Elton John,Rock!
Cry Me A River,Michael Bublé,Ballad!
Cry Me A River,Justin Timberlake,Soulful!
Cry To Me,Duffy,Ballad!
Cryin',Aerosmith,Soulful!
Crying (duet),Roy Orbison,Duet!
Crying in the Rain,A-Ha,Ballad!
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,Ballad!
Da Doo Ron Ron (When He Walked Me Home),The Crystals,Happy!
Da Ya Think Im Sexy?,Rod Stewart,Happy!
Daddy Cool,Boney M,Happy!
Dance Dance,Fall Out Boy,Rock!
Dance Dance Dance (Yowsah Yowsah Yowsah),Chic,Happy!
Dance to the Music,Sly & The Family Stone,Happy!
Dance With My Father,Luther Vandross,Banger!
Dancing In The Dark,Bruce Springsteen,Rock!
Dancing On My Own,Robyn,Banger!
Dancing On The Ceiling,Lionel Richie,Happy!
Dancing Queen,Abba,Banger!
Dancing With A Stranger (with Normani),Sam Smith,Duet!
Danger Zone,Kenny Loggins,Banger!
Dangerous Woman,Ariana Grande,Banger!
Dani California,Red Hot Chili Peppers,Rock!
Danza kuduro,Don Omar,Happy!
Danza Kuduro (feat. Don Omar),Lucenzo,Happy!
Dark Horse,Katy Perry & Juicy J,Duet!
Day 'N' Nite (Nightmare),Kid Cudi,Banger!
Day Tripper,The Beatles,Happy!
Daydream Believer,The Monkees,Banger!
De Do Do Do De Da Da Da,The Police,Rock!
Dear Mr. President,Pink,Happy!
Delilah,Tom Jones,Soulful!
Demons,Imagine Dragons,Banger!
Der Kommissar,Falco,Banger!
Desert Rose,Sting & Cheb Mami,Duet!
Despacito (Featuring Daddy Yankee),Luis Fonsi,Happy!
Desperado,The Eagles,Banger!
Devil Went Down To Georgia,The Charlie Daniels Band,Happy!
Diamonds,Rihanna,Happy!
Diamonds From Sierra Leone,Kanye West,Banger!
Die Another Day,Madonna,Banger!
Dilemma,Nelly & Kelly Rowland,Duet!
Dinero,Trinidad Cardona,Banger!
Dip It Low,Christina Milian,Banger!
Dirrty,Christina Aguilera & Redman,Duet!
Dirrty (feat. Redman),Christina Aguilera,Banger!
Dirty Diana,Michael Jackson,Banger!
Dirty Little Secret,The All-American Rejects,Rock!
Disco Inferno,The Trammps,Happy!
Disturbia,Rihanna,Banger!
DJ got us fallin' in love,Usher & Pitbull,Duet!
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,Banger!
DJ Got Us Falling In Love,Usher & Pitbull,Duet!
Do it Again,Steely Dan,Banger!
Do The Conga,Black Lace,Happy!
Do They Know It's Christmas?,Band Aid,Duet!
Do Ya Think I'm Sexy?,Rod Stewart,Happy!
Do You Know (What It Takes),Robyn,Happy!
Do You Really Want to Hurt Me?,Culture Club,Banger!
Do You Want To,Franz Ferdinand,Rock!
Do-Re-Mi,The Sound Of Music,Banger!
Dock Of The Bay,Otis Redding,Soulful!
Doctor Jones,Aqua,Happy!
Does Your Mother Know,Abba,Happy!
Dolce Vita,Ryan Paris,Happy!
Don't,Ed Sheeran,Soulful!
Don't Be Cruel,Elvis Presley,Banger!
Don't Cha,The Pussycat Dolls,Happy!
Don't Cha?,Pussycat Dolls,Banger!
Don't Cry,Guns n' Roses,Rock!
Don't Cry For Me Argentina,Julie Covington,Ballad!
Don't Feel Like Crying,Sigrid,Banger!
Don't Go Breaking My Heart,Elton John,Banger!
Don't Know Why,Norah Jones,Ballad!
Don't Let Go (Love),En Vogue,Banger!
Don't Let Me Down,The Beatles,Soulful!
Don't Let the Sun Go Down On Me,George Michael & Elton John,Duet!
Don't Let The Sun Go Down On Me,Elton John,Soulful!
Don't Look Back in Anger,Oasis,Soulful!
Don't Phunk With My Heart,The Black Eyed Peas,Happy!
Don't speak,No Doubt,Rock!
Don't Stand So Close to Me,The Police,Rock!
Don't Start Now,Dua Lipa,Banger!
Don't Stop 'Til You Get Enough,Michael Jackson,Happy!
Don't Stop Believin',Journey,Banger!
Don't Stop Believing,Journey,Ballad!
Don't Stop Me Now,Queen,Rock!
Don't Stop Me Now - Remastered 2011,Queen,Rock!
Don't Stop Movin',S Club 7,Happy!
Don't Tell Me,Madonna,Banger!
Don't Worry Be Happy,Bobby McFerrin,Happy!
Don't You Worry Child,Swedish House Mafia & John Martin,Banger!
Don't You Worry Child - Radio Edit,Swedish House Mafia,Soulful!
Dont Be Cruel,Elvis Presley,Soulful!
Down Down,Status Quo,Rock!
Down On the Corner,Creedence Clearwater Revival,Rock!
Down Under,Men At Work,Banger!
Dragostea Din Tei,O-Zone,Happy!
Dream A Little Dream Of Me,The Mamas And The Papas,Banger!
Dream On,Aerosmith,Ballad!
Dreamer,Ozzy Osbourne,Soulful!
Dreamlover,Mariah Carey,Soulful!
Drive,The Cars,Soulful!
Driver's Licence,Olivia Rodrigo,Banger!
drivers license,Olivia Rodrigo,Banger!
Drop it Like It's Hot,Snoop Dogg & Pharrell Williams,Duet!
Drunk in Love (feat. Jay-Z),Beyoncé,Duet!
Duelling Banjos,Eric Weissburg & Steve Mandell,Duet!
Dynamite,Taio Cruz,Happy!
E.T.,Katy Perry & Kanye West,Duet!
Earth Song,Michael Jackson,Soulful!
Easy,The Commodores,Happy!
Ebony & Ivory,Paul McCartney & Stevie Wonder,Duet!
Ebony And Ivory,Paul McCartney & Stevie Wonder,Duet!
Échame La Culpa,Luis Fonsi,Happy!
Eenie Meenie,Sean Kingston and Justin Bieber,Duet!
Eight Days a Week,The Beatles,Banger!
Elastic Heart,Sia,Soulful!
Eleanor Rigby,The Beatles,Soulful!
Electric Avenue,Eddy Grant,Happy!
Electricity,Silk City & Dua Lipa,Duet!
Emotion,Destiny's Child,Soulful!
Empire State Of Mind,Jay Z & Alicia Keys,Duet!
Empire State Of Mind (Part II) Broken Down,Alicia Keys,Soulful!
End of the Road,Boyz II Men,Ballad!
Endless Love,Diana Ross & Lionel Richie,Duet!
Endless Love,Luther Vandross & Mariah Carey,Duet!
Endless Love (with Shania Twain),Lionel Richie,Duet!
Englishman In New York,Sting,Soulful!
Enter Sandman,Metallica,Rock!
Epic,Faith No More,Rock!
Escape,Enrique Iglesias,Soulful!
Escape (The Pina Colada Song),Rupert Holmes,Banger!
Escape (The Piña Colada Song),Rupert Holmes,Banger!
Espresso,Sabrina Carpenter,Banger!
Eternal Flame,Bangles,Banger!
Eternal Flame,Atomic Kitten,Soulful!
Eternity,Robbie Williams,Banger!
Euphoria,Loreen,Banger!
Euphoria (Eurovision Winner 2012 Sweden),Loreen,Banger!
Evacuate The Dancefloor,Cascada,Banger!
Everlong,Foo Fighters,Soulful!
Every Breath You Take,The Police,Banger!
Every Little Thing She Does is Magic,The Police,Rock!
Every Rose Has Its Thorn,Poison,Banger!
Every Teardrop Is a Waterfall,Coldplay,Soulful!
Everybody (Backstreets Back),Backstreet Boys,Banger!
Everybody Hurts,REM,Soulful!
Everybody Needs Somebody,Blues Brothers,Happy!
Everybody Needs Somebody To Love,The Blues Brothers,Happy!
Everybody Wants To Be A Cat,The Aristocats,Happy!
Everybody's Changing,Keane,Soulful!
Everybody's Free (To Wear Sunscreen),Baz Luhrmann,Soulful!
Everybody's Talkin',Harry Nilsson,Soulful!
Everyday I Love You Less And Less,Kaiser Chiefs,Rock!
Everyday is a Winding Road,Sheryl Crow,Soulful!
Everyday People,Sly & The Family Stone,Banger!
Everytime,Britney Spears,Soulful!
Everytime We Touch,Cascada,Banger!
Everytime We Touch - Radio Edit,Cascada,Banger!
Evil Woman,Electric Light Orchestra,Rock!
Excited,M People,Rock!
Eye Of The Tiger,Survivor,Rock!
F**k You/forget You,Cee-Lo Green,Banger!
Faith,George Michael,Happy!
Falling,Alicia Keys,Soulful!
Fame,Irene Cara,Banger!
Family Affair,Mary J. Blige,Soulful!
Family Portrait,Pink,Soulful!
Fast Car,Tracy Chapman,Soulful!
Father And Son,Cat Stevens,Banger!
Feather,Sabrina Carpenter,Happy!
Feel Good Inc,Gorillaz,Banger!
Feel Good Inc.,Gorillaz,Happy!
Feel So Close,Calvin Harris,Happy!
Feel This Moment,Pitbull & Christina Aguilera,Duet!
Feel This Moment (feat. Christina Aguilera),Pitbull,Duet!
Feliz Navidad,José Feliciano,Happy!
Fergalicious,Fergie & will.i.am,Duet!
Fernando,Abba,Banger!
Fever,Peggy Lee,Banger!
Fields Of Gold,Eva Cassidy,Ballad!
Fields of Gold,Sting,Soulful!
Fight For Your Right To Party,Beastie Boys,Rock!
Fighter,Christina Aguilera,Banger!
Fill Me In,Craig David,Soulful!
Finesse - Remix; feat. Cardi B,Bruno Mars,Happy!
Fire,Kasabian,Rock!
Fire Burning,Sean Kingston,Happy!
Fireflies,Owl City,Banger!
Firestarter,The Prodigy,Banger!
Firestone,Kygo,Soulful!
Firework,Katy Perry,Banger!
Fit but You Know It,The Streets,Banger!
Fix You,Coldplay,Soulful!
Flashdance (What A Feeling),Irene Cara,Banger!
Flashdance... What a Feeling,Irene Cara,Happy!
Flashdance...What A Feeling,Irene Cara,Happy!
Flat Beat,Mr Oizo,Banger!
Flowers,Miley Cyrus,Banger!
Fly Like an Eagle,Seal,Happy!
Fly Me To The Moon,Diana Krall,Banger!
Fly Me To The Moon,Frank Sinatra,Soulful!
Follow Me,Uncle Kracker,Soulful!
Follow You Follow Me,Genesis,Soulful!
Folsom Prison Blues,Johnny Cash,Banger!
Foolish,Ashanti,Soulful!
Foolish Games,Jewel,Soulful!
Footloose,Kenny Loggins,Happy!
For Once in My Life,Stevie Wonder,Happy!
Forever Young,Alphaville,Soulful!
Forget You,Cee Lo Green,Banger!
Forget You!,Cee Lo Green,Happy!
Forgot About Dre,Dr. Dre,Banger!
Fortnight (feat. Post Malone),Taylor Swift,Ballad!
Fortunate Son,Creedence Clearwater Revival,Rock!
Freak Like Me,Sugababes,Banger!
Free Bird,Lynyrd Skynyrd,Rock!
Free Electric Band,Albert Hammond,Banger!
Free Fallin',Tom Petty,Ballad!
Free Your Mind,En Vogue,Happy!
Freedom,Wham,Banger!
Freedom,George Michael,Happy!
Freestyler,Bomfunk MCs,Banger!
Freeway of Love,Aretha Franklin,Soulful!
Friday I'm in Love,The Cure,Happy!
Friends In Low Places,Garth Brooks,Happy!
